conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username;full_text_indonesia
1,88502E+18;Thu Jan 30 19:54:41 +0000 2025;1.0;@elvis_analyst As of January 30 2025 the total supply of Toncoin (TON) the native cryptocurrency of The Open Network (TON) blockchain is approximately 5.12 billion tokens. The circulating supply is around 2.5 billion tokens. -ChatGPT;1,89E+33;;elvis_analyst;en;;0.0;0.0;0.0;https://x.com/undefined/status/1885054043229216929;4872743543.0;;@elvis_analyst Pada tanggal 30 Januari 2025, total pasokan Toncoin (TON), mata uang kripto asli dari blockchain The Open Network (TON) adalah sekitar 5,12 miliar token. Pasokan yang beredar sekitar 2,5 miliar token. -ObrolanGPT
1,88505E+18;Thu Jan 30 19:47:22 +0000 2025;0.0;Toncoinは売り圧力に直面していますが、潜在的な反転シグナルが現れています。 Explore more key information on #SoSoValue: https://t.co/5GJE3BCdr1 #TON;1,89E+34;;;ja;;0.0;0.0;0.0;https://x.com/undefined/status/1885052205239263713;1,61E+34;;Toncoin menghadapi tekanan jual, tetapi potensi sinyal pembalikan mulai muncul. Jelajahi informasi penting lainnya tentang #SoSoValue: https://t.co/5GJE3BCdr1 #TON
1,88505E+18;Thu Jan 30 19:37:59 +0000 2025;1.0;Toncoin'de (TON) dikkatini çekecek sinyaller var! Özellikle fiyatın 4 80 dolarlık destek bölgesine yönelmesi ve MACD göstergesinin pozitif momentum işaretleri vermesi olası bir bullish dönüşü tetikleyebilir. Ayrıca TON adres sayısındaki %32 lik büyüme ilginin artmaya devam;1,89E+34;;;tr;;0.0;0.0;0.0;https://x.com/undefined/status/1885049842830860641;1,70E+33;;Toncoin (TON) memiliki sinyal yang akan menarik perhatian Anda! Secara khusus, kemungkinan pembalikan bullish dapat dipicu jika harga bergerak menuju zona support $4-80 dan indikator MACD memberikan sinyal momentum positif. Selain itu, pertumbuhan jumlah alamat TON sebesar 32% menunjukkan bahwa minat terus meningkat.
1,88505E+18;Thu Jan 30 19:36:49 +0000 2025;0.0;gmonad! I'm reserving both toncoin.nad and toncoin.chog on @monad_xyz using @AllDomains_ Reserve your domain on⬇️ https://t.co/XTThwnR13X;1,89E+34;;;en;;0.0;0.0;0.0;https://x.com/undefined/status/1885049549581914414;1,72E+34;;bagus sekali! Saya memesan toncoin.nad dan toncoin.chog di @monad_xyz menggunakan @AllDomains_ Pesan domain Anda di⬇️ https://t.co/XTThwnR13X
1,88504E+18;Thu Jan 30 19:15:48 +0000 2025;0.0;gmonad! I'm reserving both toncoin.mon and toncoin.moyaki on @monad_xyz using @AllDomains_ Reserve your domain on⬇️ https://t.co/2Xoy7LibJE;1,89E+34;;;en;;0.0;0.0;0.0;https://x.com/undefined/status/1885044257641169196;1,52E+34;;bagus sekali! Saya memesan toncoin.mon dan toncoin.moyaki di @monad_xyz menggunakan @AllDomains_ Pesan domain Anda di⬇️ https://t.co/2Xoy7LibJE
1,88504E+18;Thu Jan 30 19:15:13 +0000 2025;1.0;Will Toncoin (TON) Bearish Trends Extend Into 2025? Price Prediction #shibarmy #shibarium #badbrigade #crypto #shib #bitcoin #ethereum #cryptotrading #cryptonews #dogecoin #plokadot #xrp https://t.co/Nnwv0dDvAM;1,89E+34;;;en;;0.0;0.0;0.0;https://x.com/undefined/status/1885044112677806297;1,69E+33;;Akankah Tren Bearish Toncoin (TON) Berlanjut Hingga 2025? Prediksi Harga #shibarmy #shibarium #badbrigade #crypto #shib #bitcoin #ethereum #cryptotrading #cryptonews #dogecoin #plokadot #xrp https://t.co/Nnwv0dDvAM
1,88504E+18;Thu Jan 30 19:10:25 +0000 2025;1.0;Toncoin: 240K TON moved to exchanges Should traders be worried? #shibarmy #shibarium #badbrigade #crypto #shib #bitcoin #ethereum #cryptotrading #cryptonews #dogecoin #plokadot #xrp https://t.co/6H28WtUU8Y;1,89E+34;;;en;;0.0;0.0;0.0;https://x.com/undefined/status/1885042903401324624;1,69E+33;;Toncoin: 240K TON dipindahkan ke bursa Haruskah pedagang khawatir? #shibarmy #shibarium #badbrigade #crypto #shib #bitcoin #ethereum #cryptotrading #cryptonews #dogecoin #plokadot #xrp https://t.co/6H28WtUU8Y
1,88504E+18;Thu Jan 30 19:04:39 +0000 2025;0.0;Toncoin: 240K TON moved to exchanges Should traders be worried? - https://t.co/lIucMagomr #Toncoin: #240K #moved;1,89E+34;;;en;;0.0;0.0;0.0;https://x.com/undefined/status/1885041451647598774;1,67E+34;;Toncoin: 240K TON dipindahkan ke bursa Haruskah pedagang khawatir? - https://t.co/lIucMagomr #Toncoin: #240K #pindah
1,88504E+18;Thu Jan 30 18:55:35 +0000 2025;0.0;Will Toncoin (TON) Price Bearish Trends Extend into 2025? https://t.co/ojSC0MTDYO;1,89E+34;;;en;;0.0;0.0;0.0;https://x.com/undefined/status/1885039173322891575;1,38E+34;;Akankah Tren Penurunan Harga Toncoin (TON) Berlanjut hingga 2025? https://t.co/ojSC0MTDYO
1,88504E+18;Thu Jan 30 18:51:37 +0000 2025;0.0;Will Toncoin (TON) Price Bearish Trends Extend into 2025? https://t.co/31TKLC8oaw;1,89E+34;;;en;;0.0;0.0;0.0;https://x.com/undefined/status/1885038173555659202;3086727432.0;;Akankah Tren Penurunan Harga Toncoin (TON) Berlanjut hingga 2025? https://t.co/31TKLC8oaw
